Position Y,Position X,Position Z
105890.77,386259.16,11.79
106031.19,386274.19,11.5
105915.03,386274.23,11.5
105880.65,386271.06,11.5
106088.42,386252.31,11.53
106045.14,386268.3,11.56
106103.49,386254.02,11.53
105688.52,386258.34,11.53
106127.49,386251.49,11.49
106105.01,386270,11.45
106000,386260,11.44
106175.01,386275,11.43
106055.01,386259.99,11.46
105865.51,386251.42,11.48
106085,386274.99,11.47
106148.26,386274.64,11.46
106116.49,386263.53,11.57
105871.35,386274.93,11.71
105823.12,386262.01,11.65
106125,386269.99,11.65
105897.39,386268.96,11.72
106165,386260,11.77
106005,386275,11.75
105790,386255,11.72
106055,386269.99,11.64
106165.01,386274.99,11.6
105911.53,386260.53,11.59
105782.74,386262.3,11.57
105790,386275,11.61
105995.01,386270,11.64
106085,386264.99,11.63
106145,386259.99,11.63
105780.26,386318.82,11.77
106025,386320,11.77
105984.6,386321.58,11.75
105877.49,386314.18,11.77
106039.83,386306.05,11.79
105809.02,386311.78,11.77
105870,386305,11.77
105895,386325,11.71
106076.85,386319.92,11.62
106210,386325,11.6
106200,386324.99,11.59
106185,386320,11.62
106117.32,386321.44,11.69
106057.5,386319.15,11.66
105721.98,386309.61,11.64
106087.26,386316.35,11.8
106035.01,386315,11.88
105915,386315,11.87
105751.67,386311.92,11.86
106010.3,386316.41,11.88
105947.46,386311.76,11.91
105965,386310,11.89
105999.94,386316.77,11.89
105990.25,386313.11,11.86
106180,386310,11.82
105905,386315,11.82
106005.9,386305.71,11.8
105925.35,386313.79,11.82
105905,386325,11.85
106052.7,386305.76,11.85
105729.72,386317.37,11.83
105813.07,386300.34,11.59
105887.62,386315.8,11.35
106150.75,386302.48,11.31
106140,386310,11.29
106130.01,386314.99,11.35
106166.06,386318.76,11.44
106130,386304.99,11.42
105973.98,386314.66,11.4
105716.31,386318.56,11.28
106204.18,386310.02,11.2
106220,386314.99,11.19
106220,386324.99,11.18
105710.39,386309.03,11.22
106089.1,386304.91,11.27
106099.61,386300.92,11.26
105880.47,386302.95,11.23
106162.07,386307.89,11.45
105981.47,386304.48,11.54
105919.41,386304.31,11.54
106135,386325,11.54
106078.8,386300.5,11.56
105823.6,386321.69,11.57
105819.54,386311.54,11.57
106190.01,386305,11.57
106110,386305,11.53
106145.01,386320,11.5
105705,386320,11.48
105700,386310,11.46
106099.64,386323.78,11.51
106120,386309.99,11.53
106154.22,386314.32,11.53
106071.35,386310.19,11.51
106324.41,386332.51,8.19
106537.76,386331.54,8.16
106533.29,386344.71,8.14
106476.64,386330.74,8.2
106585.99,386329.03,8.21
106487.78,386340.71,8.21
106560.6,386330.54,8.2
106602.63,386339.13,8.13
106572.49,386334.69,8.01
106597.65,386326.46,7.95
106631.54,386326.27,7.93
106615.16,386341.6,8.02
106336.49,386331.73,8.07
106623.46,386335.03,8.07
105555,386335,8.06
106609.1,386330.72,8.26
106253.51,386325.64,8.46
106519.73,386331.57,8.45
106502.85,386330.84,8.44
106284.31,386338.9,8.49
106331.59,386346.53,8.54
106563.99,386347.89,8.54
106553.02,386344.84,8.5
106425.81,386334.75,8.44
106317.04,386348.23,8.31
106295.04,386338.31,8.29
106404.56,386342.68,8.28
106592.45,386349.02,8.35
106261.37,386350.22,8.41
106362.85,386339.13,8.35
106375.31,386329.87,8.35
106608.01,386349.87,7.86
105875,386325,12.09
105738.17,386302.01,12.08
105848.38,386303.32,12.06
105812.75,386321.31,12.1
105850,386325,12.13
105758.73,386320.49,12.12
105860,386325,12.1
105925,386325,12.04
105775.27,386309.77,11.97
105789,386323.96,11.92
105936.54,386311.42,11.92
106046.65,386317.39,11.97
105975,386325,12.04
105939.56,386323.01,12.03
106020,386305,11.98
105835.65,386307.66,12.13
105540,386345,5.63
105535,386335,4.99
105789.55,386313.95,12.55
105545,386335,6.96
105560,386345,7.76
106581.56,386340.32,7.68
105550,386345,7.09
105799.61,386315.27,12.39
105745,386325,12.19
105854.38,386311.39,12.15
105795.6,386305.4,12.14
105740,386315,12.2
105839.57,386318.34,12.26
105762.34,386307.43,12.21
105865,386315,12.2
106102.11,386313.79,11.11
105530,386325,4.71
105520,386310,4.31
105728.62,386298.14,12.31
105530,386315,5.17
105540,386315,6.74
105540,386325,6.26
105530,386305,5.88
105850,386280,12.19
105835,386295,12.06
105815,386280,12.04
105774.34,386291.75,12.01
105753.19,386280.37,12.09
105755,386300,12.13
105726.71,386275.82,12.13
105785,386300,12.12
106618.38,386304.56,7.07
105550,386305,8.13
106583.52,386302.83,8.12
106390.9,386310.46,8.06
106441.22,386301.41,8.14
106532.29,386306.72,8.2
106597.66,386305.28,8.18
106358.99,386324.51,8.14
106342.72,386309.61,8.02
105550,386315,7.82
105550,386325,7.49
105540,386305,7.12
106403.34,386320.36,7.96
106574.12,386321.37,8
106547.08,386313.04,8
106519.16,386319.73,8
105830,386285,12.01
106016.34,386275.37,11.78
105780,386280,11.78
105860,386295,11.77
106200,386300,11.78
105758.57,386288.95,11.8
105995.94,386289.31,11.79
105805.03,386282.25,11.78
106068.55,386290.15,11.77
105810.99,386290.38,11.72
106063.48,386299.43,11.71
105970,386285,11.7
105935,386295,11.72
105972.28,386300.25,11.76
105954.06,386299.88,11.75
106175,386300,11.72
105888.55,386278.89,11.8
105867.53,386285.6,11.96
105850,386290,11.96
105739.85,386291.47,11.94
105840,386285,11.98
105878.87,386283.07,12
105740,386280,12
105822.8,386297.63,11.99
105785,386290,11.91
105712.37,386283.81,11.81
105728.55,386285.69,11.81
106021.46,386294,11.81
105900,386300,11.86
105904.99,386275.73,11.9
106010,386294.99,11.9
105766.01,386297.9,11.87
106260,386315,9.24
105566.85,386306.97,9.21
106281.95,386303.67,9.16
105585.32,386324.79,9.27
105570,386325,9.44
105608.66,386322.41,9.44
105596.48,386308.29,9.33
106249.88,386301.97,9.15
106270,386310,8.92
106411.52,386305.51,8.91
106494.3,386312.56,8.84
106351.63,386316.73,8.93
106429.08,386325.27,9.08
106487.17,386303.11,9.03
106453.83,386320.5,8.95
106260,386305,9.51
105686.77,386319.31,10.16
105676.22,386309.24,10.15
106221.47,386302.91,10.1
105640.63,386302.08,10.24
105669.52,386319.03,10.8
105665.27,386309.23,10.49
105651.83,386312.14,10.42
105640.54,386323.17,10.02
105628.69,386322.06,9.7
105607,386311.81,9.65
106414.48,386320.62,9.58
105616.01,386307.24,9.79
105636.32,386312.25,9.98
105628.73,386301.87,9.93
105619.61,386316.95,9.83
105579.11,386315.55,8.83
